audio,label
-8,1
-11,1
-2,1
6,1
15,1
17,1
30,1
38,1
40,1
45,1
48,1
52,1
53,1
62,1
66,1
62,1
64,1
63,1
65,1
66,1
63,1
64,1
65,1
63,1
60,1
63,1
57,1
48,1
48,1
54,1
49,1
43,1
41,1
35,1
33,1
38,1
42,1
38,1
33,1
35,1
32,1
23,1
23,1
19,1
10,1
3,1
-9,1
-17,1
-27,1
-31,1
-32,1
-39,1
-37,1
-41,1
-44,1
-51,1
-55,1
-50,1
-50,1
-45,1
-49,1
-48,1
-49,1
-45,1
-38,1
-38,1
-30,1
-23,1
-20,1
-23,1
-13,1
-15,1
-14,1
-14,1
-17,1
-14,1
-15,1
-16,1
-8,1
-1,1
5,1
7,1
11,1
21,1
12,1
10,1
5,1
-3,1
17,1
21,1
20,1
25,1
19,1
17,1
19,1
17,1
5,1
1,1
-3,1
-13,1
-20,1
-24,1
-25,1
-36,1
-39,1
-40,1
-43,1
-49,1
-57,1
-61,1
-63,1
-62,1
-66,1
-70,1
-71,1
-68,1
-62,1
-61,1
-57,1
-52,1
-46,1
